	QuickSort Las Vegas 

Number of elements   Execution time
1000  3.2279491424560547
2000  8.321762084960938
3000  11.788129806518555
4000  18.229007720947266
5000  27.52995491027832
6000  28.820037841796875
7000  37.85085678100586
8000  44.69609260559082
9000  51.50413513183594
10000  62.72602081298828
