N      Algoritmo 2     Algoritmo 3
0     0.003814697265625      0.0021457672119140625
1     0.0021457672119140625      0.0011920928955078125
2     0.00286102294921875      0.0019073486328125
3     0.0021457672119140625      0.0019073486328125
4     0.0021457672119140625      0.0030994415283203125
5     0.0026226043701171875      0.0030994415283203125
6     0.0019073486328125      0.0040531158447265625
7     0.0019073486328125      0.003814697265625
8     0.0030994415283203125      0.0050067901611328125
9     0.00286102294921875      0.0050067901611328125
10     0.0030994415283203125      0.0057220458984375
11     0.0040531158447265625      0.0059604644775390625
12     0.0026226043701171875      0.0073909759521484375
13     0.0030994415283203125      0.0069141387939453125
14     0.0040531158447265625      0.008106231689453125
15     0.0040531158447265625      0.008106231689453125
16     0.0040531158447265625      0.008821487426757812
17     0.004291534423828125      0.009775161743164062
18     0.0040531158447265625      0.010013580322265625
19     0.0050067901611328125      0.009775161743164062
20     0.005245208740234375      0.010967254638671875
21     0.0050067901611328125      0.012159347534179688
22     0.006198883056640625      0.011920928955078125
23     0.0050067901611328125      0.011920928955078125
24     0.0059604644775390625      0.013113021850585938
25     0.0050067901611328125      0.013113021850585938
26     0.0059604644775390625      0.014066696166992188
27     0.006198883056640625      0.013828277587890625
28     0.006198883056640625      0.014781951904296875
29     0.0059604644775390625      0.0152587890625
30     0.006198883056640625      0.015974044799804688
31     0.006198883056640625      0.01621246337890625
32     0.0069141387939453125      0.016927719116210938
33     0.0069141387939453125      0.01811981201171875
34     0.007867813110351562      0.017881393432617188
35     0.0069141387939453125      0.017881393432617188
36     0.007867813110351562      0.019073486328125
37     0.008344650268554688      0.019788742065429688
38     0.008344650268554688      0.019788742065429688
39     0.008106231689453125      0.021219253540039062
40     0.008106231689453125      0.0209808349609375
41     0.008106231689453125      0.025987625122070312
42     0.015974044799804688      0.03719329833984375
43     0.015974044799804688      0.06985664367675781
44     0.016927719116210938      0.04100799560546875
45     0.015735626220703125      0.047206878662109375
46     0.014066696166992188      0.025033950805664062
47     0.010013580322265625      0.025033950805664062
48     0.010013580322265625      0.025033950805664062
49     0.010013580322265625      0.025033950805664062
50     0.009775161743164062      0.025987625122070312
51     0.010967254638671875      0.026941299438476562
52     0.010013580322265625      0.027894973754882812
53     0.010013580322265625      0.026941299438476562
54     0.010967254638671875      0.028848648071289062
55     0.010967254638671875      0.027894973754882812
56     0.010967254638671875      0.028848648071289062
57     0.011920928955078125      0.030040740966796875
58     0.012636184692382812      0.030040740966796875
59     0.011920928955078125      0.030994415283203125
60     0.013113021850585938      0.031948089599609375
61     0.013113021850585938      0.031948089599609375
62     0.012874603271484375      0.032901763916015625
63     0.013113021850585938      0.03409385681152344
64     0.013113021850585938      0.033855438232421875
65     0.012874603271484375      0.03409385681152344
66     0.013113021850585938      0.03504753112792969
67     0.014066696166992188      0.03528594970703125
68     0.014066696166992188      0.03504753112792969
69     0.014066696166992188      0.03695487976074219
70     0.013828277587890625      0.03814697265625
71     0.013828277587890625      0.03814697265625
72     0.01621246337890625      0.04410743713378906
73     0.015974044799804688      0.03886222839355469
74     0.015020370483398438      0.03933906555175781
75     0.015020370483398438      0.0400543212890625
76     0.015735626220703125      0.04124641418457031
77     0.01621246337890625      0.041961669921875
78     0.015974044799804688      0.04315376281738281
79     0.014781951904296875      0.04410743713378906
80     0.016927719116210938      0.04291534423828125
81     0.015974044799804688      0.04315376281738281
82     0.015974044799804688      0.04315376281738281
83     0.017881393432617188      0.0438690185546875
84     0.016689300537109375      0.04506111145019531
85     0.017881393432617188      0.04506111145019531
86     0.016927719116210938      0.04887580871582031
87     0.017881393432617188      0.04601478576660156
88     0.01811981201171875      0.04792213439941406
89     0.021219253540039062      0.04792213439941406
90     0.018835067749023438      0.048160552978515625
91     0.019073486328125      0.049114227294921875
92     0.017881393432617188      0.049114227294921875
93     0.018835067749023438      0.052928924560546875
94     0.019073486328125      0.05078315734863281
95     0.02002716064453125      0.051021575927734375
96     0.018835067749023438      0.05078315734863281
97     0.02002716064453125      0.051975250244140625
98     0.02002716064453125      0.052928924560546875
99     0.02002716064453125      0.052928924560546875
